stage,rank,logistic_weight,random_forest_weight,gradient_boosting_weight,log_loss,top1,ece,selected,search_skipped,skip_reason
coarse,92,0.25,0.4,0.35000000000000003,0.06273404297252236,0.990875,0.040342689556335576,False,False,
coarse,93,0.35000000000000003,0.15000000000000002,0.5,0.06336339437483364,0.990125,0.03931498690262175,False,False,
coarse,94,0.30000000000000004,0.30000000000000004,0.4,0.0634647229773678,0.99075,0.041071304929632964,False,False,
coarse,95,0.0,0.9,0.1,0.06359544267406973,0.987375,0.03065619684472345,False,False,
coarse,96,0.15000000000000002,0.65,0.2,0.06370634574102087,0.99075,0.03900881525109662,False,False,
coarse,97,0.2,0.55,0.25,0.06379351842405874,0.990875,0.040304850145558214,False,False,
coarse,98,0.1,0.75,0.15000000000000002,0.0639380017051518,0.989625,0.03672435292692798,False,False,
coarse,99,0.4,0.0,0.6000000000000001,0.06403783258660391,0.988625,0.0368057629224446,False,False,
coarse,100,0.25,0.45,0.30000000000000004,0.06415515639420087,0.991,0.04143891347783402,False,False,
coarse,101,0.35000000000000003,0.2,0.45,0.06443429423301854,0.990875,0.04151996864159582,False,False,
coarse,102,0.05,0.8500000000000001,0.1,0.06457092454980974,0.989,0.03482965305865056,False,False,
coarse,103,0.4,0.05,0.55,0.06474534783931227,0.989625,0.03942693270897175,False,False,
coarse,104,0.30000000000000004,0.35000000000000003,0.35000000000000003,0.06476579970567835,0.99125,0.042470272809688604,False,False,
coarse,105,0.2,0.6000000000000001,0.2,0.06544050803804546,0.991,0.041695661496907614,False,False,
coarse,106,0.15000000000000002,0.7000000000000001,0.15000000000000002,0.06549516928457151,0.990375,0.03993929410624631,False,False,
coarse,107,0.35000000000000003,0.25,0.4,0.06561310162670744,0.991125,0.04374004129362582,False,False,
coarse,108,0.4,0.1,0.5,0.06565574850572077,0.9905,0.041863354287798374,False,False,
coarse,109,0.25,0.5,0.25,0.06567399621880339,0.9915,0.043231651767014434,False,False,
coarse,110,0.0,0.9500000000000001,0.05,0.06582275121069883,0.986875,0.031279426859560755,False,False,
coarse,111,0.1,0.8,0.1,0.06589126261544927,0.989625,0.03796379384885273,False,False,
coarse,112,0.30000000000000004,0.4,0.30000000000000004,0.0661639568370796,0.991625,0.044304275748759864,False,False,
coarse,113,0.4,0.15000000000000002,0.45,0.06669857229409314,0.991,0.04388717897366112,False,False,
coarse,114,0.05,0.9,0.05,0.06672714366081998,0.987375,0.03436028588994725,False,False,
coarse,115,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.06689244427901649,0.9915,0.04527516121178052,False,False,
coarse,116,0.2,0.65,0.15000000000000002,0.06719272773898809,0.991,0.04300566894310931,False,False,
coarse,117,0.45,0.0,0.55,0.06723785121279699,0.990125,0.04220026977202979,False,False,
coarse,118,0.25,0.55,0.2,0.06729143211264818,0.991625,0.044720095165803456,False,False,
coarse,119,0.15000000000000002,0.75,0.1,0.06740083407839374,0.990625,0.041441140677297095,False,False,
coarse,120,0.30000000000000004,0.45,0.25,0.06765776518733803,0.992,0.046091899008766785,False,False,
