split,model,classIndex,className,precision,recall,f1,support
test,randomForest,26,Applied Data/AI Researcher,1.0,1.0,1.0,35
test,randomForest,27,Senior Applied Data/AI Researcher,1.0,1.0,1.0,34
test,randomForest,28,Research Manager,1.0,1.0,1.0,34
test,randomForest,29,Director of Research,1.0,1.0,1.0,30
test,randomForest,30,Chief Scientific Officer,1.0,1.0,1.0,27
test,gradientBoosting,0,Associate Data Analyst,0.9142857142857143,0.9142857142857143,0.9142857142857143,35
test,gradientBoosting,1,Data Analyst,0.8285714285714286,0.8529411764705882,0.8405797101449276,34
test,gradientBoosting,2,BI Analyst,0.9666666666666667,1.0,0.983050847457627,29
test,gradientBoosting,3,Senior BI Analyst,1.0,0.9666666666666667,0.983050847457627,30
test,gradientBoosting,4,Business Analytics Manager,1.0,1.0,1.0,31
test,gradientBoosting,5,Business Analytics Director,1.0,1.0,1.0,33
test,gradientBoosting,6,Chief Business Function Officer,1.0,1.0,1.0,27
test,gradientBoosting,7,Data Quality Specialist,1.0,1.0,1.0,30
test,gradientBoosting,8,Data Governance Manager,1.0,1.0,1.0,32
test,gradientBoosting,9,Data Governance Officer,1.0,1.0,1.0,45
test,gradientBoosting,10,Chief Data Officer,1.0,1.0,1.0,39
test,gradientBoosting,11,Associate Data Engineer,0.8181818181818182,0.8709677419354839,0.84375,31
test,gradientBoosting,12,Data Engineer,1.0,0.9736842105263158,0.9866666666666666,38
test,gradientBoosting,13,Senior Data Engineer,1.0,1.0,1.0,35
test,gradientBoosting,14,Data Architech,1.0,1.0,1.0,35
test,gradientBoosting,15,Chief Data Architech,1.0,1.0,1.0,15
test,gradientBoosting,16,Chief Information Officer,1.0,1.0,1.0,43
test,gradientBoosting,17,Machine Learning Engineer,1.0,0.9696969696969697,0.9846153846153847,33
test,gradientBoosting,18,Data Scientist,0.9310344827586207,1.0,0.9642857142857143,27
test,gradientBoosting,19,Senior Data Scientist,0.96875,1.0,0.9841269841269841,31
test,gradientBoosting,20,Chief Data Scientist,1.0,1.0,1.0,40
test,gradientBoosting,21,Chief Analytics Officer,1.0,1.0,1.0,34
test,gradientBoosting,22,AI Engineer,1.0,1.0,1.0,38
test,gradientBoosting,23,Senior AI Engineer,1.0,0.9333333333333333,0.9655172413793104,30
test,gradientBoosting,24,Chief AI Engineering,1.0,1.0,1.0,26
test,gradientBoosting,25,Chief Technology Officer,1.0,1.0,1.0,19
test,gradientBoosting,26,Applied Data/AI Researcher,1.0,0.9714285714285714,0.9855072463768115,35
test,gradientBoosting,27,Senior Applied Data/AI Researcher,1.0,1.0,1.0,34
test,gradientBoosting,28,Research Manager,1.0,0.9705882352941176,0.9850746268656716,34
test,gradientBoosting,29,Director of Research,1.0,1.0,1.0,30
test,gradientBoosting,30,Chief Scientific Officer,1.0,1.0,1.0,27
test,ensemble,0,Associate Data Analyst,0.9142857142857143,0.9142857142857143,0.9142857142857143,35
test,ensemble,1,Data Analyst,0.8787878787878788,0.8529411764705882,0.8656716417910447,34
test,ensemble,2,BI Analyst,0.9666666666666667,1.0,0.983050847457627,29
test,ensemble,3,Senior BI Analyst,1.0,0.9666666666666667,0.983050847457627,30
test,ensemble,4,Business Analytics Manager,1.0,1.0,1.0,31
test,ensemble,5,Business Analytics Director,1.0,1.0,1.0,33
test,ensemble,6,Chief Business Function Officer,1.0,1.0,1.0,27
test,ensemble,7,Data Quality Specialist,1.0,1.0,1.0,30
test,ensemble,8,Data Governance Manager,1.0,1.0,1.0,32
test,ensemble,9,Data Governance Officer,1.0,1.0,1.0,45
test,ensemble,10,Chief Data Officer,1.0,1.0,1.0,39
test,ensemble,11,Associate Data Engineer,0.8484848484848485,0.9032258064516129,0.875,31
test,ensemble,12,Data Engineer,1.0,1.0,1.0,38
test,ensemble,13,Senior Data Engineer,1.0,1.0,1.0,35
test,ensemble,14,Data Architech,1.0,1.0,1.0,35
test,ensemble,15,Chief Data Architech,1.0,1.0,1.0,15
test,ensemble,16,Chief Information Officer,1.0,1.0,1.0,43
test,ensemble,17,Machine Learning Engineer,1.0,0.9696969696969697,0.9846153846153847,33
test,ensemble,18,Data Scientist,0.9642857142857143,1.0,0.9818181818181818,27
