iteration,gradient_boosting_train_top1,gradient_boosting_train_logLoss,gradient_boosting_validation_top1,gradient_boosting_validation_logLoss,gradient_boosting_hard_validation_top1,gradient_boosting_hard_validation_logLoss,gradient_boosting_test_top1,gradient_boosting_test_logLoss,ensemble_train_top1,ensemble_train_logLoss,ensemble_validation_top1,ensemble_validation_logLoss,ensemble_hard_validation_top1,ensemble_hard_validation_logLoss,ensemble_test_top1,ensemble_test_logLoss
12,0.984375,0.6267621221075435,0.963,0.7141535266927016,0.9381818181818182,0.8225002295375193,0.959,0.7170626960627058,0.99325,0.47561851229520674,0.984,0.5282057817533163,0.9727272727272728,0.601622296010955,0.983,0.5243286049323467
13,0.985125,0.5738198404142227,0.964,0.6622972630831963,0.94,0.7703193859587871,0.959,0.6659595417656654,0.99325,0.4404339105017796,0.984,0.49408564511567604,0.9727272727272728,0.5678599945741908,0.982,0.4905931833100762
14,0.985625,0.5266576513440006,0.964,0.61651389628038,0.94,0.7252681692179475,0.96,0.6204537512825553,0.99325,0.4085804172616854,0.984,0.46324218347133034,0.9727272727272728,0.537687428263512,0.982,0.46010322583220564
15,0.98625,0.4836177345456817,0.965,0.5745836286943247,0.9418181818181818,0.6827152906416558,0.961,0.5770461375557905,0.993375,0.37916057012401805,0.984,0.43476646123243456,0.9727272727272728,0.5091761476498298,0.982,0.4313135774787341
16,0.98675,0.44431926753891937,0.966,0.5365068965500941,0.9418181818181818,0.6443569255222642,0.961,0.5385218440847406,0.993625,0.3520603352973971,0.984,0.408776255280729,0.9727272727272728,0.48337701273617767,0.982,0.4054361811993185
17,0.9875,0.4083658543037048,0.967,0.5011931726869407,0.9436363636363636,0.6081470890951646,0.962,0.5028872813494222,0.99375,0.3270716443267421,0.985,0.3845495471100178,0.9745454545454545,0.45891692019841324,0.982,0.38124335465705467
18,0.988,0.3755869313800958,0.967,0.4690605881010767,0.9436363636363636,0.5751523610016951,0.963,0.4703014927488656,0.99375,0.3040698104402933,0.985,0.3622884802556682,0.9745454545454545,0.4364367742582388,0.982,0.358999681155773
19,0.98875,0.34596274476286754,0.968,0.43997548501108175,0.9454545454545454,0.5452971209938571,0.965,0.4406565557763816,0.99375,0.2831213163442133,0.984,0.3418278537427141,0.9727272727272728,0.41558505342348456,0.981,0.3385174738419965
20,0.989125,0.31839880971288514,0.969,0.4123308332181474,0.9454545454545454,0.5168834257994536,0.966,0.41325650126745295,0.994125,0.2635764421790162,0.984,0.3226125506247438,0.9727272727272728,0.3961280808566403,0.98,0.31931781755175676
21,0.989625,0.2939245600674266,0.969,0.38781114132677663,0.9472727272727273,0.49137511088367175,0.97,0.38903565227297177,0.994125,0.24610193820496598,0.985,0.30538699269430347,0.9727272727272728,0.3783790216860248,0.982,0.3023097920948692
22,0.99,0.27075860041221683,0.97,0.36482262901974943,0.9490909090909091,0.46722627344531,0.97,0.36689821154801405,0.994625,0.22955033897276714,0.985,0.2892248390696927,0.9727272727272728,0.36176813769130667,0.981,0.28673736737428895
23,0.9905,0.24993756034681106,0.971,0.34307316318309955,0.9509090909090909,0.4439082005507014,0.969,0.34625659063537684,0.9945,0.21448908430407962,0.985,0.2740488811629137,0.9727272727272728,0.3458693945315388,0.981,0.2720623044544432
24,0.99125,0.23104083318431384,0.971,0.32435306215530846,0.9509090909090909,0.4244294539513237,0.969,0.3271673806869239,0.99475,0.20072437021169903,0.985,0.26061003300486146,0.9727272727272728,0.33207869080803976,0.981,0.2585324237563755
25,0.992,0.2136183965359135,0.971,0.30630414764582914,0.9509090909090909,0.40513077394281677,0.969,0.3098365810874566,0.994875,0.18797763283532656,0.985,0.24785690351549863,0.9727272727272728,0.3187327446935232,0.98,0.24612867145003045
